
Timestamp              CPU USAGE (%)       
2024-05-10 23:31:44	95 
2024-05-10 23:31:45	98 
2024-05-10 23:31:46	100 
2024-05-10 23:31:48	99 
2024-05-10 23:31:49	96 
2024-05-10 23:32:21	93 
2024-05-11 08:57:41	91 
2024-05-11 08:57:46	91 
2024-05-11 08:57:47	91 
2024-05-11 08:57:49	94 
2024-05-11 08:57:50	93 
2024-05-11 08:57:51	92 
2024-05-11 09:07:05	92 
2024-05-11 09:07:10	96 
2024-05-11 09:07:15	100 
2024-05-11 09:07:20	100 
2024-05-11 09:07:25	100 
2024-05-11 09:23:30	100 
2024-05-11 09:23:35	96 
2024-05-11 09:23:46	93 
2024-05-11 09:23:47	98 
2024-05-11 09:23:48	100 
2024-05-11 09:24:26	94 
2024-05-11 09:24:28	95 
2024-05-11 09:24:29	100 
2024-05-11 09:25:11	98 
2024-05-11 09:25:12	95 
2024-05-11 09:25:13	93 
2024-05-11 09:27:38	93 
2024-05-11 09:27:39	92 
2024-05-11 09:27:41	92 
2024-05-11 09:28:02	99 
2024-05-11 09:28:03	97 
2024-05-11 09:28:04	98 
2024-05-11 09:29:42	100 
2024-05-11 09:29:43	93 
2024-05-11 09:29:45	97 
2024-05-11 09:30:51	95 
2024-05-11 09:30:52	93 
2024-05-11 09:30:53	98 
2024-05-11 09:41:12	91 
2024-05-11 09:41:13	96 
2024-05-11 09:41:14	100 
2024-05-11 09:41:42	95 
2024-05-11 09:41:44	95 
2024-05-11 09:41:45	96 
2024-05-11 09:42:07	93 
2024-05-11 12:07:55	99 
2024-05-11 12:07:58	94 
2024-05-11 12:08:00	95 
2024-05-11 12:21:14	92 
2024-05-11 12:21:31	95 
2024-05-13 09:36:51	95 
2024-05-13 09:37:12	95 
